/tmp/env/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
SPS: 136
global_step=14002, episodic_return=[173.80357]
SPS: 135
global_step=14162, episodic_return=[246.60854]
SPS: 135
SPS: 134
global_step=14368, episodic_return=[322.88177]
SPS: 134
SPS: 134
global_step=14569, episodic_return=[248.6145]
SPS: 133
global_step=14683, episodic_return=[218.32683]
SPS: 133
SPS: 132
global_step=14817, episodic_return=[226.52472]
SPS: 132
global_step=14920, episodic_return=[170.91725]
SPS: 131
global_step=15027, episodic_return=[197.56805]
SPS: 131
global_step=15164, episodic_return=[288.08292]
SPS: 131
SPS: 130
global_step=15329, episodic_return=[81.29978]
SPS: 130
global_step=15443, episodic_return=[204.89354]
SPS: 129
SPS: 129
global_step=15671, episodic_return=[348.14474]
SPS: 129
SPS: 128
SPS: 128
global_step=15976, episodic_return=[478.68503]
SPS: 128
SPS: 127
global_step=16132, episodic_return=[280.25803]
SPS: 127
global_step=16245, episodic_return=[28.32971]
SPS: 127
SPS: 126
global_step=16446, episodic_return=[361.72208]
SPS: 126
global_step=16600, episodic_return=[296.9603]
SPS: 126
SPS: 125
global_step=16703, episodic_return=[24.806973]
SPS: 125
SPS: 125
SPS: 124
SPS: 124
global_step=17154, episodic_return=[636.1024]
SPS: 124
SPS: 124
global_step=17329, episodic_return=[335.79086]
SPS: 123
global_step=17490, episodic_return=[353.2763]
SPS: 123
SPS: 123
SPS: 123
global_step=17762, episodic_return=[441.23642]
SPS: 122
SPS: 122
global_step=17912, episodic_return=[328.14005]
SPS: 122
SPS: 122
SPS: 121
global_step=18207, episodic_return=[440.8743]
SPS: 121
SPS: 121
global_step=18470, episodic_return=[338.38837]
SPS: 121
global_step=18551, episodic_return=[142.41017]
SPS: 120
global_step=18674, episodic_return=[240.71509]
SPS: 120
SPS: 120
global_step=18827, episodic_return=[274.97052]
SPS: 120
global_step=18963, episodic_return=[231.10062]
SPS: 119
global_step=19072, episodic_return=[221.2009]
SPS: 119
SPS: 119
global_step=19238, episodic_return=[329.33688]
SPS: 119
SPS: 119
global_step=19483, episodic_return=[375.09332]
SPS: 118
SPS: 118
SPS: 118
global_step=19768, episodic_return=[454.62646]
SPS: 118
global_step=19882, episodic_return=[197.63936]
SPS: 118
SPS: 118
SPS: 117
SPS: 117
global_step=20218, episodic_return=[500.962]
SPS: 117
global_step=20333, episodic_return=[224.19936]
SPS: 117
SPS: 117
global_step=20520, episodic_return=[361.30798]
SPS: 116
global_step=20695, episodic_return=[215.89354]
SPS: 116
SPS: 116
global_step=20895, episodic_return=[385.32895]
SPS: 116
SPS: 116
global_step=21069, episodic_return=[306.71844]
SPS: 116
SPS: 115
global_step=21230, episodic_return=[291.0896]
SPS: 115
global_step=21397, episodic_return=[104.68615]
SPS: 115
SPS: 115
global_step=21566, episodic_return=[288.52658]
SPS: 115
SPS: 115
global_step=21728, episodic_return=[290.1269]
SPS: 114
global_step=21870, episodic_return=[310.7154]
SPS: 114
SPS: 114
SPS: 114
global_step=22176, episodic_return=[267.40314]
SPS: 114
SPS: 114
global_step=22367, episodic_return=[358.71185]
SPS: 114
SPS: 114
global_step=22507, episodic_return=[266.4911]
SPS: 113
SPS: 113
global_step=22727, episodic_return=[386.37003]
global_step=22758, episodic_return=[18.287363]
SPS: 113
SPS: 113
global_step=22967, episodic_return=[370.48514]
SPS: 113
SPS: 113
global_step=23139, episodic_return=[184.59915]
SPS: 113
